X Y Primary Secondary Declustering_Weight
39.5 18.5   .06   .22 1.619
 5.5  1.5   .06   .27 1.619
38.5  5.5   .08   .40 1.416
20.5  1.5   .09   .39 1.821
27.5 14.5   .09   .24 1.349
40.5 21.5   .10   .48  .944
15.5  3.5   .10   .21 1.214
 6.5 25.5   .11   .36 1.619
38.5 21.5   .11   .22 1.146
23.5 18.5   .16   .30 1.821
  .5 25.5   .16   .31 1.349
 9.5 19.5   .17   .30 1.012
36.5 43.5   .18  1.60  .944
21.5  5.5   .19   .59 1.416
13.5  3.5   .19   .18 1.146
40.5  7.5   .19   .75 1.012
31.5 17.5   .22   .44 1.619
46.5 40.5   .24   .58 1.821
10.5  7.5   .26   .54 1.281
28.5 11.5   .28   .62 1.551
 8.5  7.5   .28   .97 1.281
47.5   .5   .31  2.88 2.023
 4.5 37.5   .32   .35  .944
14.5 21.5   .33   .48 1.619
22.5 48.5   .34   .48 2.023
18.5  6.5   .34   .23 1.619
 3.5 38.5   .34   .51  .944
11.5 46.5   .40   .47 1.079
31.5 26.5   .45   .74 1.619
14.5 29.5   .46  2.52 1.025
14.5 43.5   .51  1.21 1.079
38.5 28.5   .57  5.55 1.083
45.5 14.5   .62  2.30 1.281
 4.5 30.5   .65  1.06 1.416
 6.5 41.5   .67   .43 1.821
 7.5 12.5   .71  2.07 1.551
26.5 23.5   .79  1.40 1.281
 8.5 45.5   .81   .80 1.821
14.5 46.5   .83   .72 1.079
13.5 24.5   .84   .60 1.012
26.5  1.5   .89  1.01 1.619
33.5  7.5   .92   .99 1.619
45.5 22.5   .93  1.29 1.416
48.5 25.5   .94  1.06 1.619
35.5 10.5   .96   .66 1.214
34.5 14.5   .99   .52 1.214
13.5 39.5   .99  1.53 1.821
 7.5 18.5  1.01   .67 1.214
15.5 27.5  1.02   .66 1.146
 3.5 33.5  1.10  1.09 1.146
11.5 15.5  1.11   .42 1.315
22.5 30.5  1.21  2.16 1.416
45.5 29.5  1.21  2.07 1.619
13.5 12.5  1.27   .61 1.517
22.5 11.5  1.34  2.15 1.821
17.5 34.5  1.36  2.58 1.619
39.5 43.5  1.37  1.45 1.146
 3.5 23.5  1.38   .99  .944
30.5 22.5  1.38  1.37 1.416
46.5 13.5  1.66  4.68 1.079
30.5  9.5  1.70  1.30 1.349
27.5 32.5  1.71  3.61  .944
12.5 34.5  1.78  6.25 1.497
25.5  4.5  1.81  1.37 1.416
27.5 34.5  1.82  4.73 1.146
45.5  6.5  1.89  1.89 2.023
 3.5 47.5  1.96  3.47 2.023
33.5 31.5  1.98  4.96  .571
41.5 26.5  2.13  1.80 1.281
19.5 20.5  2.17  1.41 1.416
  .5 41.5  2.33  1.98 1.619
 5.5 22.5  2.34  1.25  .944
43.5 10.5  2.47  1.80  .877
41.5 45.5  2.75  2.65 1.619
28.5 42.5  2.76  7.66  .573
21.5 34.5  2.84  3.66 1.416
16.5 13.5  2.99  2.74  .870
23.5 24.5  3.04  1.66 1.079
 2.5  1.5  3.33  1.89 1.619
47.5 44.5  3.35  2.94 1.821
39.5 38.5  3.51   .87  .958
46.5 34.5  3.81  4.44 2.023
35.5 45.5  4.60  4.70  .787
25.5 25.5  4.89  2.10 1.281
28.5 44.5  5.05  5.18  .587
19.5 42.5  5.15  2.19 2.023
38.5 36.5  5.31  3.29  .347
 2.5  9.5  6.26 17.02  .292
32.5 36.5  6.41  2.45  .348
  .5  8.5  6.49 14.95  .328
31.5 45.5  7.53 10.21  .306
 9.5 29.5  8.03  5.21  .445
39.5 31.5  8.34  8.02  .341
17.5 15.5  9.08  3.32  .445
 2.5 14.5 10.27  5.67  .429
30.5 41.5 17.19 10.10  .360
35.5 32.5 18.76 10.76  .261
37.5 36.5  3.64  3.86  .311
38.5 35.5  3.59  4.99  .324
38.5 37.5  9.08  1.68  .499
39.5 36.5  2.22  3.23  .482
 1.5  9.5  7.56 19.74  .272
 2.5  8.5  8.90 12.32  .348
 2.5 10.5  2.55 15.91  .309
 3.5  9.5  7.92 12.01  .444
31.5 36.5  4.29  2.49  .438
32.5 35.5  2.33  2.30  .335
32.5 37.5  3.21  2.75  .510
33.5 36.5  7.71  2.82  .315
  .5  7.5 12.74 14.04  .682
  .5  9.5 15.77 22.46  .272
 1.5  8.5 20.35 14.09  .328
30.5 45.5  5.54  9.00  .339
31.5 44.5  5.38  9.08  .306
31.5 46.5 15.77 11.87  .665
32.5 45.5 10.20  9.61  .360
 8.5 29.5  9.01  4.38  .566
 9.5 28.5  9.27  4.40  .769
 9.5 30.5  3.56  5.84  .546
10.5 29.5  2.52  6.19  .479
38.5 31.5 18.64 11.79  .298
39.5 30.5  7.94  7.09  .425
39.5 32.5  2.28  9.32  .341
40.5 31.5  2.51  4.96  .493
16.5 15.5 19.44  3.60  .445
17.5 14.5  2.96  3.17  .546
17.5 16.5  2.97  3.62  .566
18.5 15.5  4.92  2.86  .769
 1.5 14.5  5.54  5.92  .733
 2.5 13.5  8.71 11.72  .345
 2.5 15.5  2.74  4.07  .789
 3.5 14.5  3.61  5.03  .497
29.5 41.5 58.32 10.26  .450
30.5 40.5 11.08  9.31  .396
30.5 42.5 21.08 10.26  .326
31.5 41.5 22.75  8.21  .427
34.5 32.5  9.42  6.76  .413
35.5 31.5  8.48 12.78  .419
35.5 33.5  2.82  9.21  .271
36.5 32.5  5.26 12.40  .252
