Country,B.G.Namespace,Year,Air.Quality.Network,Air.Quality.Network.Name,Timezone,Air.Quality.Station.EoI.Code,Air.Quality.Station.Nat.Code,Air.Quality.Station.Name,Sampling.Point.Id,Air.Pollutant,Longitude,Latitude,Altitude,Altitude.Unit,Air.Quality.Station.Area,Air.Quality.Station.Type,Operational.Activity.Begin,Operational.Activity.End,Sample.Id,Inlet.Height,Inlet.Height.Unit,Building.Distance,Building.Distance.Unit,Kerb.Distance,Kerb.Distance.Unit,Distance.Source,Distance.Source.Unit,Main.Emission.Sources,Heating.Emissions,Heating.Emissions.Unit,Mobile,Traffic.Emissions,Traffic.Emissions.Unit,Industrial.Emissions,Industrial.Emissions.Unit,Municipality,Dispersion.Local,Dispersion.Regional,Distance.Junction,Distance.Junction.Unit,Heavy.Duty.Fraction,Height.Facades,Street.Width,Traffic.Speed,Traffic.Volume,Process.Id,Process.Activity.Begin,Process.Activity.End,Measurement.Type,Measurement.Method,Other.Measurement.Method,Measurement.Equipment,Other.Measurement.Equipment,Sampling.Method,Other.Sampling.Method,Analytical.Technique,Other.Analytical.Technique,Equivalence.Demonstrated,Demonstration.Report,Detection.Limit,Detection.Limit.Unit,Documentation,QA.Report,Duration,Duration.Unit,Cadence,Cadence.Unit,Source.Data.URL,Imported,NO2
Germany,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,2025,NET.DE_BB,Landesamt für Umwelt Brandenburg,UTC+01,DEBB053,DEBB053,Hasenholz (Buckow),SPO.DE_DEBB053_Bulk_As_dataGroup3,As,14.01517,52.56389,88,m,rural-regional,background,04/01/2002 00:00:01,,SAM.DE_DEBB053_3,1.5,m,NA,,NA,,NA,,,NA,NA,0,NA,NA,NA,NA,Buckow (Märkische Schweiz),NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP.DE_DEBB053_Bulk_As_passive_deposition-wetdry_ICP_AES_Duration-1month_Cadence-1month,04/01/2002 00:00:01,,passive,,NA,NA,NA,deposition-wetdry,NA,ICP-AES,,ref,,-999,ug.m-2.day-1,http://www.umweltbundesamt.de/luft/missingDocumentation.pdf,http://www.umweltbundesamt.de/luft/QAinPreparation.pdf,1,month,1,month,http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml,16/12/2025 14:00:25,9.11027914426267
Germany,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,2025,NET.DE_BB,Landesamt für Umwelt Brandenburg,UTC+01,DEBB065,DEBB065,Lütte (Belzig),SPO.DE_DEBB065_Bulk_As_dataGroup3,As,12.56139,52.19423,111,m,rural-regional,background,14/02/2003 00:00:01,01/01/2017 00:00:00,SAM.DE_DEBB065_3,1.5,m,NA,,NA,,NA,,,NA,NA,0,NA,NA,NA,NA,Bad Belzig,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP.DE_DEBB065_Bulk_As_passive_deposition-wetdry_ICP_AES_Duration-1month_Cadence-1month,14/02/2003 00:00:01,01/01/2017 00:00:00,passive,,NA,NA,NA,deposition-wetdry,NA,ICP-AES,,ref,,-999,ug.m-2.day-1,http://www.umweltbundesamt.de/luft/missingDocumentation.pdf,http://www.umweltbundesamt.de/luft/QAinPreparation.pdf,1,month,1,month,http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml,16/12/2025 14:00:25,6.568808136213004
Germany,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,2025,NET.DE_BB,Landesamt für Umwelt Brandenburg,UTC+01,DEBB066,DEBB066,Spreewald,SPO.DE_DEBB066_Bulk_As_dataGroup3,As,14.0569,51.89749,52,m,rural-regional,background,17/04/2003 00:00:01,,SAM.DE_DEBB066_3,1.5,m,NA,,NA,,NA,,,NA,NA,0,NA,NA,NA,NA,Neu Zauche,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP.DE_DEBB066_Bulk_As_passive_deposition-wetdry_ICP_AES_Duration-1month_Cadence-1month,17/04/2003 00:00:01,,passive,,NA,NA,NA,deposition-wetdry,NA,ICP-AES,,ref,,-999,ug.m-2.day-1,http://www.umweltbundesamt.de/luft/missingDocumentation.pdf,http://www.umweltbundesamt.de/luft/QAinPreparation.pdf,1,month,1,month,http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml,16/12/2025 14:00:25,6.242489310065873
Germany,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,2025,NET.DE_BE,"Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt",UTC+01,DEBE027,DEBE027,Berlin Marienfelde,SPO.DE_DEBE027_NO_dataGroup1,NO,13.3681,52.39841,45,m,rural-nearcity,background,01/04/1989 00:00:01,,SAM.DE_DEBE027_1,3.7,m,NA,,NA,,NA,,Industrial Processes,NA,NA,0,NA,NA,NA,NA,Berlin,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP.DE_DEBE027_NO_automatic_chemi_Duration-30minute,01/04/1989 00:00:01,,automatic,chemi,NA,NA,NA,,NA,,,ref,,-999,ug.m-3,http://www.umweltbundesamt.de/luft/missingDocumentation.pdf,http://www.umweltbundesamt.de/luft/QAinPreparation.pdf,30,minute,1,variable,http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml,16/12/2025 14:00:25,13.273496559633028
Germany,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,2025,NET.DE_BE,"Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt",UTC+01,DEBE032,DEBE032,Berlin Grunewald (3.5 m),SPO.DE_DEBE032_NO_dataGroup1,NO,13.22514,52.47319,50,m,rural-nearcity,background,01/10/1986 00:00:01,,SAM.DE_DEBE032_1,3.5,m,NA,,NA,,NA,,,NA,NA,0,NA,NA,NA,NA,Berlin,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP.DE_DEBE032_NO_automatic_chemi_Duration-30minute,01/10/1986 00:00:01,,automatic,chemi,NA,NA,NA,,NA,,,ref,,-999,ug.m-3,http://www.umweltbundesamt.de/luft/missingDocumentation.pdf,http://www.umweltbundesamt.de/luft/QAinPreparation.pdf,30,minute,1,variable,http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml,16/12/2025 14:00:25,11.980110281447445
Germany,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,2025,NET.DE_BE,"Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt",UTC+01,DEBE056,DEBE056,Berlin Friedrichshagen,SPO.DE_DEBE056_NO_dataGroup1,NO,13.64705,52.4477,35,m,rural-nearcity,background,01/02/1994 00:00:01,,SAM.DE_DEBE056_1,3.5,m,NA,,NA,,NA,,,NA,NA,0,NA,NA,NA,NA,Berlin,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP.DE_DEBE056_NO_automatic_chemi_Duration-30minute,01/02/1994 00:00:01,,automatic,chemi,NA,NA,NA,,NA,,,ref,,-999,ug.m-3,http://www.umweltbundesamt.de/luft/missingDocumentation.pdf,http://www.umweltbundesamt.de/luft/QAinPreparation.pdf,30,minute,1,variable,http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml,16/12/2025 14:00:25,12.799010747717555
Germany,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,2025,NET.DE_BE,"Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt",UTC+01,DEBE062,DEBE062,Berlin Frohnau (3.5 m),SPO.DE_DEBE062_NO_dataGroup1,NO,13.29608,52.65327,50,m,rural-nearcity,background,01/02/1996 00:00:01,,SAM.DE_DEBE062_1,3.5,m,NA,,NA,,NA,,,NA,NA,0,NA,NA,NA,NA,Berlin,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP.DE_DEBE062_NO_automatic_chemi_Duration-30minute,01/02/1996 00:00:01,,automatic,chemi,NA,NA,NA,,NA,,,ref,,-999,ug.m-3,http://www.umweltbundesamt.de/luft/missingDocumentation.pdf,http://www.umweltbundesamt.de/luft/QAinPreparation.pdf,30,minute,1,variable,http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml,16/12/2025 14:00:25,11.83089389366148
Germany,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,2025,NET.DE_BW,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",UTC+01,DEBW004,DEBW004,Eggenstein,SPO.DE_DEBW004_Bulk_As_dataGroup3,As,8.40666,49.07655,109,m,rural-nearcity,background,01/01/2017 00:00:01,01/01/2018 00:00:00,SAM.DE_DEBW004_3,1.5,m,NA,,NA,,NA,,,NA,NA,0,NA,NA,NA,NA,Eggenstein-Leopoldsh,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP.DE_DEBW004_Bulk_As_passive_deposition-wetdry_ICP_MS_Duration-1year_Cadence-1month,01/01/2017 00:00:01,01/01/2018 00:00:00,passive,,NA,NA,NA,deposition-wetdry,NA,ICP-MS,,ref,,-999,ug.m-2.day-1,http://www.umweltbundesamt.de/luft/missingDocumentation.pdf,http://www.umweltbundesamt.de/luft/QAinPreparation.pdf,1,year,1,month,http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml,16/12/2025 14:00:25,20.49384328358209
Germany,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,2025,NET.DE_BW,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",UTC+01,DEBW031,DEBW031,Schwarzwald-Süd,SPO.DE_DEBW031_CHB_dataGroup3,C6H6,7.76453,47.80989,904,m,rural-regional,background,18/04/1997 00:00:01,01/01/2017 00:00:00,SAM.DE_DEBW031_1,3.5,m,NA,,NA,,NA,,,NA,NA,0,NA,NA,NA,NA,MünstertalSchwarzwal,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP.DE_DEBW031_CHB_passive_passiveadsorbant_GC_FID_Duration-2week_Cadence-14day,18/04/1997 00:00:01,01/01/2017 00:00:00,passive,,NA,NA,NA,passiveadsorbent,NA,GC-FID,,yes,http://cdr.eionet.europa.eu/de/eu/aqd/documents/envunufua/,-999,ug.m-3,http://www.umweltbundesamt.de/luft/missingDocumentation.pdf,http://www.umweltbundesamt.de/luft/QAinPreparation.pdf,2,week,1,variable,http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml,16/12/2025 14:00:25,3.4389926030292357
Germany,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,2025,NET.DE_BW,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",UTC+01,DEBW087,DEBW087,Schwäbische Alb,SPO.DE_DEBW087_Bulk_As_dataGroup3,As,9.20764,48.34578,798,m,rural-regional,background,01/01/2007 00:00:01,,SAM.DE_DEBW087_3,1.5,m,NA,,NA,,NA,,,NA,NA,0,NA,NA,NA,NA,Sonnenbühl,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP.DE_DEBW087_Bulk_As_passive_deposition-wetdry_ICP_MS_Duration-1year_Cadence-1month,01/01/2007 00:00:01,,passive,,NA,NA,NA,deposition-wetdry,NA,ICP-MS,,ref,,-999,ug.m-2.day-1,http://www.umweltbundesamt.de/luft/missingDocumentation.pdf,http://www.umweltbundesamt.de/luft/QAinPreparation.pdf,1,year,1,month,http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml,16/12/2025 14:00:25,6.540338983050847
